x,y
0.548814,0.376125
0.715189,2.127535
0.602763,1.888617
0.544883,0.014425
0.423655,3.397907
0.645894,3.236562
0.437587,3.038943
0.891773,0.82837
0.963663,-0.130605
0.383442,3.122954
0.791725,0.718245
0.528895,2.812536
0.568045,1.705181
0.925597,1.951681
0.071036,6.203087
0.087129,6.050472
0.020218,8.328694
0.83262,2.858119
0.778157,1.265661
0.870012,1.432904
0.978618,2.810263
0.799159,-0.235608
0.461479,0.510524
0.780529,2.105077
0.118274,3.408265
0.639921,3.295117
0.143353,3.695633
0.944669,0.209786
0.521848,3.531051
0.414662,3.423538
0.264556,4.610625
0.774234,2.049904
0.45615,0.936849
0.568434,3.406099
0.01879,8.150228
0.617635,2.195921
0.612096,2.351558
0.616934,1.239818
0.943748,1.572165
0.68182,2.201273
0.359508,2.552667
0.437032,0.762686
0.697631,1.55195
0.060225,7.567591
0.666767,0.60961
0.670638,1.147992
0.210383,2.786677
0.128926,6.217482
0.315428,3.079449
0.363711,2.563978
0.570197,0.722183
0.438602,2.395909
0.988374,0.244469
0.102045,4.981228
0.208877,2.601691
0.16131,4.503313
0.653108,1.904421
0.253292,2.622224
0.466311,2.161822
0.244426,1.810323
0.15897,2.3702
0.110375,5.192805
0.65633,1.488848
0.138183,4.833485
0.196582,5.754889
0.368725,3.077926
0.820993,0.172962
0.097101,6.19055
0.837945,-0.249747
0.096098,4.637896
0.976459,0.86073
0.468651,3.47189
0.976761,0.183956
0.604846,0.592312
0.739264,1.093068
0.039188,6.52106
0.282807,3.738919
0.120197,3.461465
0.29614,1.37689
0.118728,4.134074
0.317983,1.894408
0.414263,3.874062
0.064147,7.041503
0.692472,1.349425
0.566601,0.274711
0.265389,3.581169
0.523248,0.604282
0.093941,3.611449
0.575946,2.667437
0.929296,1.28848
0.318569,3.309951
0.66741,1.621811
0.131798,5.170934
0.716327,0.573973
0.289406,1.53377
0.183191,4.212776
0.586513,0.653227
0.020108,7.636322
0.82894,0.620963
0.004695,9.56899
